HE (EST),kWH
2017-05-01 00:00:00,2326.44
2017-05-01 00:15:00,2313.36
2017-05-01 00:30:00,2287.08
2017-05-01 00:45:00,2271.6
2017-05-01 01:00:00,2275.56
2017-05-01 01:15:00,2259.6
2017-05-01 01:30:00,2264.64
2017-05-01 01:45:00,2263.92
2017-05-01 02:00:00,2243.88
2017-05-01 02:15:00,2230.68
2017-05-01 02:30:00,2227.92
2017-05-01 02:45:00,2220.48
2017-05-01 03:00:00,2214.72
2017-05-01 03:15:00,2199.6
2017-05-01 03:30:00,2199.0
2017-05-01 03:45:00,2188.68
2017-05-01 04:00:00,2181.36
2017-05-01 04:15:00,2152.2
2017-05-01 04:30:00,2150.76
2017-05-01 04:45:00,2156.76
2017-05-01 05:00:00,2155.68
2017-05-01 05:15:00,2151.36
2017-05-01 05:30:00,2160.0
2017-05-01 05:45:00,2190.36
2017-05-01 06:00:00,2200.92
2017-05-01 06:15:00,2222.88
2017-05-01 06:30:00,2237.64
2017-05-01 06:45:00,2253.24
2017-05-01 07:00:00,2299.2
2017-05-01 07:15:00,2348.16
2017-05-01 07:30:00,2380.32
2017-05-01 07:45:00,2421.36
2017-05-01 08:00:00,2422.56
2017-05-01 08:15:00,2389.32
2017-05-01 08:30:00,2385.84
2017-05-01 08:45:00,2377.2
2017-05-01 09:00:00,2375.04
2017-05-01 09:15:00,2379.6
2017-05-01 09:30:00,2386.08
2017-05-01 09:45:00,2376.36
2017-05-01 10:00:00,2376.36
2017-05-01 10:15:00,2389.68
2017-05-01 10:30:00,2391.72
2017-05-01 10:45:00,2402.52
2017-05-01 11:00:00,2393.04
2017-05-01 11:15:00,2390.88
2017-05-01 11:30:00,2397.72
2017-05-01 11:45:00,2383.2
2017-05-01 12:00:00,2402.76
2017-05-01 12:15:00,2417.88
2017-05-01 12:30:00,2416.56
2017-05-01 12:45:00,2422.2
2017-05-01 13:00:00,2426.4
2017-05-01 13:15:00,2431.2
2017-05-01 13:30:00,2422.8
2017-05-01 13:45:00,2438.16
2017-05-01 14:00:00,2479.8
2017-05-01 14:15:00,2256.0
2017-05-01 14:30:00,2279.28
2017-05-01 14:45:00,2244.0
2017-05-01 15:00:00,2229.12
2017-05-01 15:15:00,2228.28
2017-05-01 15:30:00,2229.48
2017-05-01 15:45:00,2198.76
2017-05-01 16:00:00,2197.08
2017-05-01 16:15:00,2187.36
2017-05-01 16:30:00,2208.0
2017-05-01 16:45:00,2231.88
2017-05-01 17:00:00,2217.48
2017-05-01 17:15:00,2186.52
2017-05-01 17:30:00,2197.68
2017-05-01 17:45:00,2217.6
2017-05-01 18:00:00,2224.92
2017-05-01 18:15:00,2188.08
2017-05-01 18:30:00,2153.16
2017-05-01 18:45:00,2117.64
2017-05-01 19:00:00,2116.08
2017-05-01 19:15:00,2098.44
2017-05-01 19:30:00,2109.48
2017-05-01 19:45:00,2116.8
2017-05-01 20:00:00,2136.72
2017-05-01 20:15:00,2134.2
2017-05-01 20:30:00,2121.84
2017-05-01 20:45:00,2119.68
